name:80001	MD5:947315791FFF4384E9597A3452EDB1E3
name:80002	MD5:AD60E0D0F03C58BACCF2759D918CBBBF
name:80003	MD5:A140C6C6CA1F1F4B74B671B5CB09AF98
name:80004	MD5:B30347057A378F26883CC2C22D442EB7
name:80005	MD5:A833745CD3FEC33AB9CF5735C8B9AE36
name:80006	MD5:51F072C443C5650D9E41D2DFB945C83D
name:80007	MD5:EE484A5F0C9B4D71F6BD7EA4EE40FC3A
name:80008	MD5:91218C77F8F780CC1B0E00F826B155B8
name:80009	MD5:7990236A02C62C26291675021FD719FE
name:80010	MD5:CD24607C73B9E66C561F35EA11D5D5EF
name:80011	MD5:74AEEE9C36E59281529443E9E1A975D3
name:80012	MD5:ADA0C5426D9AA9A6F00E7D429E23DD9C
name:80013	MD5:A15FE45D5FA313E9E05763C64C6DE9A9
name:80014	MD5:B64A468079FF608F1E478971284E259D
name:80015	MD5:8F24B94FF5AE0BC3A5286F44CF3FF075
name:80016	MD5:403A3DE63E8383AD7C6847916117D735
name:80017	MD5:EB0A6DF4E262422477F0859FA09BABFA
name:80018	MD5:CB0ABF1FF41B6CB7B43EF5679042D116
name:80019	MD5:9583637684E5472F4803F9692F33E665
name:80020	MD5:AD7E47AC25451511C59215D85A095489
name:80021	MD5:5F9EC9A8660A545BCBA20AC5E2C2004A
name:80022	MD5:1F3AEF38E506BFDEE6B55DE2B2C60FEB
name:80023	MD5:60F2FB7EEE7B0AEE5FD14B3E8692B873
name:80024	MD5:0D30C935315FC29C87BD8D3ADA2F1BD3
name:80025	MD5:848B604D9298ECC330C3BCD600D80C15
name:80026	MD5:30B3C5F644A40B7C1363B772850BA164
name:80027	MD5:5A90C77209D2A5B5CAEBFBFC3774DF2A
name:80028	MD5:413FDDCA4487FB4AEC1C789E5F263FCB
name:80029	MD5:E0A54ED3412FFAE6EE3B681B5E7208F6
name:80030	MD5:5C2FFA924CF18E041EEEB4D6E5CA51D9
name:80031	MD5:6780CD4967862DB778F3C1ADC4EE8191
name:80032	MD5:87355B7F60F29ECB7A50A7F5C1D67FF8
name:80033	MD5:14A5D165450BA0624886B13EDD184540
name:80034	MD5:2047BB898797DAB631817A674B886D18
name:80035	MD5:2954D410635705BC7252570988EA62E3
name:80036	MD5:83B7A35D2F6D995E03DB4322E1BE2467
name:80037	MD5:12586328F8A97E99A2FD27B17F39B8C7
name:80038	MD5:3535035B44AA69DE89F6F69B037C2AF1
name:80039	MD5:E76EADFCD1BE9B1BD9AADF2CCA0F6822
name:80040	MD5:3C503108547B158BE6721219A5DC6001
name:80041	MD5:0A0254D318F257B8DDBD35F6D24FA6FA
name:80042	MD5:616ACF87B31A611AA540461EDC31B311
name:80043	MD5:26EFAB7B1F849AC2FC9248E58EA37AD5
name:80044	MD5:70BD245BF961A7FD0582AE723F4E9FC8
